"id","armA","armB","responded","female","age","agegrp","edu","town","camp"
2221,1,0,0,0,55,"45-59","secondary","rural","none"
2222,0,1,0,0,70,"60+","basic","rural","none"
2223,1,0,0,1,58,"45-59","higher","rural","opp"
2224,0,1,0,1,66,"60+","secondary","rural","gov"
2225,0,1,1,1,65,"60+","basic","town","opp"
2226,1,0,0,1,65,"60+","basic","city","gov"
2227,1,0,0,0,39,"30-44","secondary","rural","gov"
2228,0,1,0,0,73,"60+","secondary","town","gov"
2229,0,1,0,0,40,"30-44","higher","rural","gov"
2230,0,1,0,1,57,"45-59","basic","rural","gov"
2231,0,1,0,1,44,"30-44","secondary","rural","opp"
2232,1,0,0,1,34,"30-44","secondary","rural","gov"
2233,0,1,0,1,39,"30-44","secondary","rural","gov"
2234,1,0,0,1,72,"60+","basic","town","none"
2235,1,0,0,0,41,"30-44","higher","rural","gov"
2236,1,0,0,0,44,"30-44","higher","rural","none"
2237,1,0,0,1,70,"60+","higher","rural","opp"
2238,1,0,0,0,42,"30-44","higher","rural","gov"
2239,1,0,1,0,23,"18-29","higher","rural","opp"
2240,0,1,1,1,52,"45-59","basic","city","opp"
2241,1,0,0,1,70,"60+","secondary","rural","none"
2242,0,1,1,1,60,"60+","basic","town","opp"
2243,0,1,0,1,52,"45-59","basic","town","none"
2244,0,1,1,0,59,"45-59","higher","town","gov"
2245,1,0,0,1,38,"30-44","secondary","city","gov"
2246,1,0,0,1,73,"60+","secondary","city","none"
2247,0,1,0,1,46,"45-59","secondary","city","gov"
2248,0,1,0,0,55,"45-59","basic","city","none"
2249,0,1,0,0,54,"45-59","secondary","town","none"
2250,1,0,0,1,54,"45-59","secondary","town","opp"
2251,0,1,0,1,50,"45-59","secondary","rural","opp"
2252,1,0,0,0,76,"60+","secondary","town","opp"
2253,0,1,0,1,50,"45-59","secondary","city","gov"
2254,0,1,0,0,30,"30-44","secondary","town","gov"
2255,1,0,0,1,48,"45-59","secondary","rural","none"
2256,1,0,0,1,66,"60+","basic","town","gov"
2257,0,1,0,0,31,"30-44","secondary","city","opp"
2258,0,1,0,1,64,"60+","secondary","town","gov"
2259,0,1,0,1,68,"60+","basic","town","opp"
2260,0,1,0,1,48,"45-59","secondary","town","none"
2261,0,1,0,1,45,"45-59","secondary","rural","opp"
2262,0,1,0,0,53,"45-59","secondary","town","none"
2263,0,1,0,1,27,"18-29","higher","town","gov"
2264,0,1,0,1,63,"60+","higher","town","opp"
2265,1,0,0,1,61,"60+","secondary","city","gov"
2266,0,1,1,1,46,"45-59","basic","city","none"
2267,0,1,1,1,41,"30-44","higher","town","gov"
2268,1,0,1,1,66,"60+","basic","city","opp"
2269,0,1,0,0,54,"45-59","higher","city","none"
2270,1,0,0,1,41,"30-44","secondary","rural","gov"
2271,0,1,1,1,71,"60+","higher","city","gov"
2272,1,0,0,1,77,"60+","higher","rural","opp"
2273,0,1,0,1,39,"30-44","higher","town","opp"
2274,1,0,1,0,21,"18-29","higher","town","none"
2275,0,1,0,1,57,"45-59","secondary","city","gov"
2276,1,0,0,0,66,"60+","secondary","town","none"
2277,1,0,1,1,55,"45-59","secondary","rural","none"
2278,1,0,0,1,63,"60+","basic","town","gov"
2279,1,0,1,0,33,"30-44","secondary","town","none"
2280,0,1,0,1,58,"45-59","secondary","rural","gov"
2281,1,0,0,1,27,"18-29","basic","city","gov"
2282,1,0,1,0,59,"45-59","higher","town","gov"
2283,0,1,0,0,23,"18-29","higher","city","gov"
2284,0,1,0,0,53,"45-59","secondary","rural","none"
2285,0,1,0,0,81,"60+","basic","town","opp"
2286,1,0,0,0,74,"60+","secondary","town","gov"
2287,0,1,0,1,60,"60+","secondary","rural","none"
2288,0,1,0,0,73,"60+","secondary","city","gov"
2289,0,1,0,1,36,"30-44","basic","town","gov"
2290,1,0,0,0,47,"45-59","higher","city","none"
2291,1,0,1,0,32,"30-44","secondary","city","gov"
2292,1,0,0,0,45,"45-59","secondary","rural","none"
2293,1,0,0,1,29,"18-29","higher","town","none"
2294,0,1,0,0,51,"45-59","secondary","rural","none"
2295,0,1,1,0,39,"30-44","secondary","rural","gov"
2296,0,1,1,0,39,"30-44","basic","city","gov"
2297,0,1,0,1,77,"60+","secondary","rural","gov"
2298,0,1,0,0,48,"45-59","higher","rural","gov"
2299,1,0,0,0,76,"60+","higher","city","none"
2300,1,0,1,0,52,"45-59","higher","rural","opp"
2301,1,0,0,0,50,"45-59","higher","town","gov"
2302,1,0,0,0,51,"45-59","secondary","city","none"
2303,0,1,0,1,50,"45-59","higher","city","gov"
2304,1,0,0,0,25,"18-29","secondary","rural","opp"
2305,1,0,0,0,55,"45-59","secondary","city","opp"
2306,0,1,0,1,40,"30-44","secondary","town","none"
2307,1,0,1,0,76,"60+","secondary","city","opp"
2308,0,1,0,1,49,"45-59","secondary","city","opp"
2309,1,0,0,1,65,"60+","basic","rural","none"
2310,1,0,0,0,46,"45-59","secondary","town","opp"
2311,0,1,0,0,64,"60+","higher","town","opp"
2312,0,1,0,1,56,"45-59","higher","rural","gov"
2313,0,1,0,1,72,"60+","secondary","city","gov"
2314,0,1,0,1,42,"30-44","higher","rural","none"
2315,0,1,0,1,45,"45-59","basic","rural","none"
2316,1,0,0,0,30,"30-44","secondary","town","none"
2317,0,1,1,1,44,"30-44","secondary","town","gov"
2318,1,0,0,0,55,"45-59","basic","town","gov"
2319,0,1,0,0,53,"45-59","basic","town","opp"
2320,1,0,0,0,68,"60+","secondary","city","opp"
2321,0,1,0,1,34,"30-44","higher","rural","none"
2322,0,1,0,0,61,"60+","higher","city","opp"
2323,1,0,0,1,30,"30-44","secondary","rural","gov"
2324,1,0,0,1,36,"30-44","higher","rural","gov"
2325,1,0,1,1,38,"30-44","secondary","town","gov"
2326,1,0,0,0,63,"60+","secondary","town","gov"
2327,1,0,0,0,50,"45-59","higher","city","opp"
2328,1,0,0,1,65,"60+","secondary","city","none"
2329,1,0,0,0,44,"30-44","higher","rural","opp"
2330,1,0,0,1,69,"60+","secondary","city","gov"
2331,0,1,0,1,68,"60+","secondary","rural","none"
2332,0,1,0,0,55,"45-59","higher","rural","gov"
2333,0,1,0,1,25,"18-29","higher","city","opp"
2334,0,1,0,0,51,"45-59","secondary","rural","opp"
2335,0,1,0,1,24,"18-29","higher","rural","gov"
2336,1,0,0,1,53,"45-59","secondary","town","none"
2337,1,0,0,1,50,"45-59","secondary","rural","none"
2338,1,0,0,1,74,"60+","basic","town","none"
2339,1,0,0,0,78,"60+","secondary","city","opp"
2340,1,0,1,0,41,"30-44","higher","rural","gov"
2341,1,0,0,0,74,"60+","higher","city","gov"
2342,1,0,0,0,67,"60+","secondary","town","opp"
2343,0,1,0,0,71,"60+","secondary","rural","none"
2344,1,0,0,1,68,"60+","secondary","town","gov"
2345,1,0,0,0,37,"30-44","secondary","rural","gov"
2346,1,0,1,0,51,"45-59","higher","city","gov"
2347,1,0,0,0,31,"30-44","basic","town","gov"
2348,0,1,0,0,80,"60+","higher","rural","opp"
2349,1,0,0,1,39,"30-44","basic","city","none"
2350,0,1,0,0,50,"45-59","secondary","rural","opp"
2351,1,0,0,0,40,"30-44","higher","town","gov"
2352,0,1,0,0,75,"60+","basic","rural","gov"
2353,0,1,0,1,35,"30-44","secondary","city","opp"
2354,0,1,0,1,30,"30-44","higher","city","none"
2355,0,1,0,1,68,"60+","secondary","rural","opp"
2356,1,0,0,0,64,"60+","secondary","rural","opp"
2357,0,1,0,0,49,"45-59","higher","city","gov"
2358,0,1,0,0,41,"30-44","secondary","town","none"
2359,0,1,0,1,43,"30-44","basic","town","gov"
2360,1,0,0,0,65,"60+","basic","rural","opp"
2361,1,0,0,1,42,"30-44","basic","town","none"
2362,0,1,1,1,33,"30-44","secondary","city","gov"
2363,1,0,0,0,53,"45-59","secondary","rural","none"
2364,1,0,0,1,40,"30-44","higher","town","none"
2365,0,1,0,0,50,"45-59","secondary","city","gov"
2366,1,0,0,0,47,"45-59","basic","rural","gov"
2367,1,0,0,0,40,"30-44","secondary","city","none"
2368,0,1,1,1,74,"60+","basic","town","opp"
2369,1,0,0,0,57,"45-59","secondary","town","none"
2370,1,0,0,1,56,"45-59","secondary","city","gov"
2371,1,0,1,1,48,"45-59","higher","city","opp"
2372,1,0,0,0,29,"18-29","higher","rural","none"
2373,0,1,0,1,49,"45-59","secondary","town","gov"
2374,0,1,0,0,47,"45-59","secondary","town","none"
2375,0,1,0,1,26,"18-29","higher","rural","gov"
2376,1,0,1,0,38,"30-44","secondary","rural","opp"
2377,1,0,0,1,78,"60+","basic","rural","opp"
2378,1,0,0,1,32,"30-44","higher","town","opp"
2379,1,0,0,0,33,"30-44","secondary","city","gov"
2380,0,1,0,0,36,"30-44","secondary","rural","opp"
2381,0,1,0,1,42,"30-44","secondary","town","opp"
2382,0,1,0,0,43,"30-44","secondary","rural","gov"
2383,0,1,0,0,42,"30-44","secondary","city","opp"
2384,1,0,0,1,71,"60+","secondary","city","none"
2385,1,0,0,0,30,"30-44","higher","city","none"
2386,0,1,0,0,42,"30-44","secondary","rural","none"
2387,0,1,0,1,69,"60+","basic","city","gov"
2388,0,1,0,1,31,"30-44","secondary","rural","gov"
2389,1,0,0,0,69,"60+","basic","rural","none"
2390,1,0,0,1,48,"45-59","secondary","rural","opp"
2391,1,0,0,0,62,"60+","basic","city","none"
2392,1,0,0,0,60,"60+","higher","town","opp"
2393,0,1,0,0,58,"45-59","basic","town","none"
2394,0,1,0,0,63,"60+","secondary","rural","opp"
2395,0,1,0,1,64,"60+","higher","rural","none"
2396,1,0,1,0,49,"45-59","higher","city","none"
2397,0,1,0,1,31,"30-44","higher","town","gov"
2398,1,0,0,0,72,"60+","secondary","rural","none"
2399,1,0,1,1,44,"30-44","secondary","city","gov"
2400,1,0,0,0,48,"45-59","secondary","city","gov"
2401,1,0,0,0,26,"18-29","secondary","town","none"
2402,1,0,0,0,63,"60+","basic","rural","none"
2403,1,0,0,1,42,"30-44","higher","rural","opp"
2404,0,1,0,1,58,"45-59","secondary","town","opp"
2405,1,0,1,0,63,"60+","secondary","rural","opp"
2406,0,1,1,0,67,"60+","secondary","town","gov"
2407,1,0,0,1,77,"60+","secondary","city","opp"
2408,1,0,0,1,58,"45-59","higher","rural","opp"
2409,0,1,0,1,78,"60+","higher","town","opp"
2410,0,1,0,1,38,"30-44","secondary","town","gov"
2411,0,1,0,1,80,"60+","secondary","city","none"
2412,0,1,0,0,55,"45-59","basic","city","gov"
2413,1,0,0,0,59,"45-59","secondary","rural","opp"
2414,0,1,0,1,32,"30-44","higher","city","gov"
2415,1,0,0,0,23,"18-29","higher","rural","none"
2416,1,0,0,0,52,"45-59","secondary","town","none"
2417,0,1,0,0,36,"30-44","higher","rural","gov"
2418,0,1,1,1,45,"45-59","secondary","town","opp"
2419,0,1,0,0,32,"30-44","higher","town","gov"
2420,1,0,0,1,42,"30-44","secondary","city","none"
2421,0,1,0,0,58,"45-59","secondary","town","opp"
2422,1,0,0,1,55,"45-59","secondary","rural","opp"
2423,1,0,0,1,25,"18-29","secondary","town","opp"
2424,0,1,0,1,35,"30-44","secondary","rural","gov"
2425,1,0,0,0,52,"45-59","secondary","rural","gov"
2426,0,1,0,0,74,"60+","higher","town","none"
2427,0,1,0,0,41,"30-44","secondary","town","none"
2428,0,1,1,0,69,"60+","higher","city","none"
2429,1,0,0,0,29,"18-29","higher","rural","none"
2430,0,1,0,1,32,"30-44","basic","rural","gov"
2431,0,1,0,1,57,"45-59","secondary","rural","opp"
2432,1,0,0,0,54,"45-59","secondary","city","gov"
2433,1,0,1,1,55,"45-59","basic","city","gov"
2434,0,1,0,1,28,"18-29","higher","town","gov"
2435,0,1,0,0,52,"45-59","basic","rural","gov"
2436,0,1,0,1,38,"30-44","secondary","city","none"
2437,0,1,0,0,44,"30-44","higher","rural","gov"
2438,0,1,1,1,37,"30-44","higher","town","gov"
2439,1,0,0,1,24,"18-29","higher","city","none"
2440,0,1,0,1,79,"60+","basic","rural","gov"
2441,0,1,0,1,39,"30-44","basic","rural","gov"
2442,0,1,1,1,37,"30-44","secondary","rural","none"
2443,1,0,1,0,33,"30-44","higher","rural","opp"
2444,1,0,1,1,42,"30-44","secondary","city","gov"
2445,1,0,0,1,33,"30-44","secondary","town","none"
2446,1,0,0,0,45,"45-59","higher","rural","gov"
2447,0,1,0,0,74,"60+","secondary","town","none"
2448,0,1,0,1,63,"60+","higher","rural","gov"
2449,1,0,0,1,47,"45-59","higher","city","gov"
2450,0,1,0,0,52,"45-59","secondary","town","none"
2451,0,1,0,1,33,"30-44","basic","town","opp"
2452,0,1,0,0,39,"30-44","higher","city","opp"
2453,1,0,0,1,34,"30-44","secondary","town","opp"
2454,1,0,0,1,65,"60+","basic","rural","gov"
2455,0,1,0,0,42,"30-44","secondary","rural","opp"
2456,1,0,1,0,47,"45-59","secondary","city","none"
2457,0,1,0,1,35,"30-44","higher","town","gov"
2458,1,0,0,0,61,"60+","basic","town","none"
2459,1,0,0,0,19,"18-29","secondary","rural","none"
2460,0,1,0,0,39,"30-44","secondary","city","opp"
2461,0,1,1,0,47,"45-59","secondary","rural","gov"
2462,0,1,0,1,37,"30-44","secondary","city","gov"
2463,1,0,0,0,46,"45-59","secondary","rural","gov"
2464,1,0,0,1,26,"18-29","secondary","rural","opp"
2465,0,1,0,0,77,"60+","secondary","town","none"
2466,1,0,1,0,70,"60+","secondary","town","opp"
2467,1,0,0,0,35,"30-44","secondary","town","none"
2468,0,1,0,1,79,"60+","secondary","city","none"
2469,0,1,1,0,35,"30-44","secondary","rural","opp"
2470,0,1,0,0,23,"18-29","basic","town","gov"
2471,1,0,1,1,71,"60+","higher","city","opp"
2472,1,0,0,0,23,"18-29","secondary","town","none"
2473,0,1,0,0,62,"60+","secondary","city","opp"
2474,1,0,0,1,46,"45-59","secondary","city","gov"
2475,0,1,0,1,48,"45-59","higher","rural","none"
2476,1,0,0,0,56,"45-59","secondary","city","none"
2477,0,1,0,0,58,"45-59","secondary","rural","gov"
2478,0,1,0,0,62,"60+","higher","town","gov"
2479,0,1,0,0,74,"60+","secondary","town","gov"
2480,1,0,0,0,71,"60+","basic","rural","opp"
2481,0,1,0,1,68,"60+","secondary","town","opp"
2482,1,0,1,1,48,"45-59","secondary","town","gov"
2483,0,1,0,0,32,"30-44","secondary","town","opp"
2484,0,1,0,1,65,"60+","secondary","rural","opp"
2485,1,0,0,1,51,"45-59","secondary","rural","opp"
2486,0,1,0,1,58,"45-59","secondary","city","gov"
2487,1,0,1,0,46,"45-59","basic","rural","none"
2488,1,0,0,1,23,"18-29","higher","rural","none"
2489,0,1,0,1,40,"30-44","secondary","rural","none"
2490,1,0,0,0,53,"45-59","secondary","town","none"
2491,0,1,0,1,41,"30-44","basic","city","opp"
2492,0,1,0,1,69,"60+","secondary","city","none"
2493,1,0,0,0,55,"45-59","basic","rural","gov"
2494,0,1,0,0,72,"60+","higher","town","none"
2495,1,0,1,0,27,"18-29","higher","rural","gov"
2496,1,0,0,0,56,"45-59","secondary","town","opp"
2497,0,1,0,1,61,"60+","secondary","rural","none"
2498,0,1,0,0,51,"45-59","higher","city","opp"
2499,0,1,0,1,65,"60+","secondary","city","none"
2500,0,1,0,0,59,"45-59","higher","rural","none"
2501,1,0,0,0,34,"30-44","higher","rural","opp"
2502,0,1,0,1,68,"60+","higher","rural","opp"
2503,0,1,0,0,37,"30-44","higher","rural","gov"
2504,0,1,0,0,81,"60+","basic","rural","none"
2505,1,0,0,0,74,"60+","higher","town","gov"
2506,0,1,0,1,39,"30-44","basic","city","none"
2507,1,0,0,1,56,"45-59","secondary","rural","none"
2508,0,1,0,0,43,"30-44","secondary","rural","opp"
2509,1,0,1,1,63,"60+","secondary","town","opp"
2510,0,1,0,0,63,"60+","basic","rural","opp"
2511,1,0,0,0,29,"18-29","secondary","rural","gov"
2512,0,1,0,1,28,"18-29","secondary","rural","none"
2513,0,1,0,1,39,"30-44","higher","rural","none"
2514,1,0,0,0,40,"30-44","secondary","town","none"
2515,1,0,0,0,33,"30-44","higher","rural","none"
2516,1,0,0,0,75,"60+","secondary","town","none"
2517,0,1,0,1,57,"45-59","secondary","city","none"
2518,0,1,0,1,64,"60+","higher","town","none"
2519,1,0,1,0,40,"30-44","higher","city","opp"
2520,0,1,0,0,45,"45-59","secondary","city","gov"
2521,0,1,0,1,73,"60+","secondary","town","none"
2522,1,0,0,1,39,"30-44","basic","town","opp"
2523,0,1,0,1,40,"30-44","higher","town","gov"
2524,1,0,0,0,56,"45-59","secondary","rural","gov"
2525,0,1,0,1,62,"60+","higher","rural","opp"
2526,0,1,1,0,47,"45-59","basic","city","none"
2527,0,1,0,1,60,"60+","secondary","town","opp"
2528,0,1,0,0,43,"30-44","secondary","rural","gov"
2529,0,1,0,1,66,"60+","higher","town","none"
2530,1,0,1,0,60,"60+","higher","city","gov"
2531,1,0,0,1,37,"30-44","secondary","rural","opp"
2532,0,1,0,1,75,"60+","secondary","town","opp"
2533,1,0,1,1,80,"60+","basic","city","none"
2534,0,1,0,1,57,"45-59","basic","town","none"
2535,0,1,0,1,52,"45-59","secondary","town","gov"
2536,0,1,0,1,69,"60+","secondary","city","opp"
2537,0,1,0,0,36,"30-44","secondary","rural","opp"
2538,0,1,0,0,49,"45-59","higher","rural","none"
2539,0,1,0,0,66,"60+","higher","city","gov"
2540,0,1,0,1,56,"45-59","secondary","city","gov"
2541,0,1,0,1,35,"30-44","secondary","town","none"
2542,0,1,0,1,61,"60+","higher","rural","opp"
2543,0,1,1,0,22,"18-29","higher","town","gov"
2544,0,1,0,0,44,"30-44","higher","town","none"
2545,0,1,0,1,45,"45-59","higher","town","gov"
2546,1,0,0,1,65,"60+","secondary","city","opp"
2547,1,0,0,0,34,"30-44","secondary","town","opp"
2548,0,1,0,1,41,"30-44","higher","city","opp"
2549,0,1,0,0,38,"30-44","secondary","rural","gov"
2550,1,0,0,0,46,"45-59","secondary","rural","opp"
2551,1,0,0,1,22,"18-29","higher","rural","none"
2552,1,0,1,1,53,"45-59","secondary","town","opp"
2553,1,0,0,0,69,"60+","higher","rural","none"
2554,0,1,0,1,48,"45-59","secondary","town","gov"
2555,1,0,0,1,33,"30-44","secondary","rural","none"
2556,1,0,0,1,54,"45-59","secondary","city","none"
2557,1,0,1,0,46,"45-59","higher","rural","gov"
2558,0,1,0,0,56,"45-59","secondary","town","none"
2559,1,0,0,0,53,"45-59","higher","town","gov"
2560,0,1,0,1,70,"60+","secondary","city","none"
2561,1,0,1,1,63,"60+","higher","town","none"
2562,0,1,0,0,55,"45-59","secondary","town","opp"
2563,1,0,0,0,27,"18-29","higher","town","none"
2564,0,1,0,1,53,"45-59","secondary","town","opp"
2565,1,0,0,1,75,"60+","secondary","town","none"
2566,0,1,0,1,33,"30-44","higher","city","opp"
2567,0,1,0,0,65,"60+","basic","town","gov"
2568,0,1,0,0,49,"45-59","basic","city","opp"
2569,1,0,1,0,34,"30-44","higher","town","none"
2570,1,0,0,1,43,"30-44","higher","city","none"
2571,1,0,0,0,63,"60+","higher","town","gov"
2572,0,1,0,1,42,"30-44","secondary","city","none"
2573,1,0,0,1,39,"30-44","secondary","rural","gov"
2574,1,0,0,0,76,"60+","basic","rural","none"
2575,1,0,0,0,47,"45-59","secondary","city","opp"
2576,0,1,0,1,79,"60+","basic","town","opp"
2577,1,0,1,0,63,"60+","higher","town","opp"
2578,0,1,0,1,53,"45-59","basic","rural","opp"
2579,1,0,0,1,48,"45-59","secondary","city","opp"
2580,1,0,0,1,57,"45-59","higher","city","gov"
2581,1,0,0,1,38,"30-44","secondary","city","none"
2582,0,1,0,1,70,"60+","higher","town","none"
2583,0,1,0,1,71,"60+","higher","city","none"
2584,0,1,0,0,66,"60+","higher","town","gov"
2585,0,1,0,1,26,"18-29","secondary","rural","opp"
2586,0,1,0,0,48,"45-59","secondary","town","none"
2587,1,0,0,0,53,"45-59","secondary","town","gov"
2588,0,1,0,0,64,"60+","basic","town","opp"
2589,0,1,0,0,67,"60+","secondary","rural","opp"
2590,0,1,0,0,69,"60+","higher","rural","none"
2591,0,1,0,0,69,"60+","secondary","rural","opp"
2592,0,1,0,1,41,"30-44","higher","rural","none"
2593,0,1,0,1,56,"45-59","higher","town","none"
2594,1,0,1,0,80,"60+","basic","rural","none"
2595,0,1,0,0,52,"45-59","basic","city","gov"
2596,1,0,0,0,62,"60+","higher","town","none"
2597,0,1,0,1,47,"45-59","basic","city","opp"
2598,0,1,0,1,45,"45-59","secondary","town","none"
2599,1,0,1,1,28,"18-29","secondary","city","opp"
2600,0,1,0,0,60,"60+","secondary","rural","none"
2601,1,0,0,0,54,"45-59","secondary","rural","opp"
2602,1,0,1,0,70,"60+","higher","rural","none"
2603,1,0,0,0,68,"60+","secondary","rural","gov"
2604,1,0,0,0,42,"30-44","basic","city","none"
2605,1,0,1,1,40,"30-44","secondary","rural","none"
2606,1,0,0,1,39,"30-44","higher","city","opp"
2607,1,0,0,1,52,"45-59","higher","town","gov"
2608,0,1,0,0,30,"30-44","secondary","town","gov"
2609,1,0,0,1,54,"45-59","basic","city","none"
2610,0,1,0,0,55,"45-59","secondary","town","opp"
2611,1,0,1,1,35,"30-44","higher","city","gov"
2612,0,1,0,1,28,"18-29","higher","rural","none"
2613,1,0,1,1,38,"30-44","higher","rural","gov"
2614,1,0,0,1,26,"18-29","higher","rural","none"
2615,1,0,0,0,44,"30-44","secondary","rural","opp"
2616,1,0,0,0,53,"45-59","secondary","town","gov"
2617,1,0,0,1,44,"30-44","secondary","rural","gov"
2618,1,0,0,1,65,"60+","secondary","city","none"
2619,1,0,0,0,67,"60+","secondary","rural","none"
2620,1,0,0,0,45,"45-59","secondary","city","none"
2621,0,1,0,1,51,"45-59","secondary","town","gov"
2622,1,0,0,0,45,"45-59","higher","rural","gov"
2623,0,1,0,1,76,"60+","basic","town","gov"
2624,1,0,0,1,36,"30-44","secondary","city","opp"
2625,0,1,0,0,55,"45-59","higher","rural","gov"
2626,1,0,0,0,75,"60+","secondary","rural","opp"
2627,1,0,0,0,54,"45-59","secondary","rural","gov"
2628,1,0,0,0,55,"45-59","basic","city","none"
2629,1,0,0,1,55,"45-59","higher","rural","gov"
2630,0,1,0,0,69,"60+","secondary","rural","opp"
2631,0,1,1,1,44,"30-44","higher","city","none"
2632,0,1,0,0,66,"60+","higher","rural","gov"
2633,1,0,0,1,44,"30-44","higher","rural","none"
2634,1,0,0,0,42,"30-44","secondary","rural","opp"
2635,1,0,0,0,56,"45-59","secondary","town","opp"
2636,1,0,0,1,71,"60+","secondary","city","gov"
2637,0,1,0,1,61,"60+","secondary","city","none"
2638,0,1,0,1,23,"18-29","higher","city","opp"
2639,0,1,0,1,73,"60+","secondary","rural","none"
2640,1,0,0,1,57,"45-59","secondary","town","none"
2641,1,0,0,1,35,"30-44","secondary","town","none"
2642,1,0,0,0,70,"60+","higher","rural","gov"
2643,1,0,0,0,52,"45-59","higher","town","none"
2644,0,1,0,1,64,"60+","higher","city","opp"
2645,1,0,0,0,36,"30-44","basic","city","opp"
2646,1,0,0,0,82,"60+","basic","town","none"
2647,0,1,0,1,51,"45-59","secondary","rural","gov"
2648,1,0,1,1,37,"30-44","secondary","rural","gov"
2649,0,1,0,1,31,"30-44","higher","rural","gov"
2650,0,1,0,0,80,"60+","secondary","rural","opp"
2651,1,0,0,0,61,"60+","secondary","rural","opp"
2652,1,0,0,0,31,"30-44","basic","town","opp"
2653,1,0,0,0,71,"60+","secondary","city","none"
2654,1,0,0,1,28,"18-29","secondary","town","gov"
2655,0,1,0,1,31,"30-44","secondary","town","gov"
2656,1,0,0,1,52,"45-59","higher","rural","opp"
2657,1,0,0,0,74,"60+","secondary","town","none"
2658,0,1,0,0,46,"45-59","basic","city","gov"
2659,0,1,0,0,47,"45-59","secondary","rural","gov"
2660,1,0,0,1,60,"60+","higher","town","none"
2661,1,0,0,1,58,"45-59","secondary","rural","none"
2662,1,0,0,1,77,"60+","secondary","rural","opp"
2663,0,1,0,1,54,"45-59","higher","city","none"
2664,0,1,0,1,23,"18-29","higher","city","gov"
2665,0,1,1,0,27,"18-29","secondary","rural","gov"
2666,0,1,0,0,30,"30-44","higher","town","gov"
2667,0,1,0,0,32,"30-44","secondary","rural","gov"
2668,1,0,1,0,70,"60+","higher","rural","gov"
2669,1,0,0,1,41,"30-44","basic","rural","none"
2670,0,1,0,0,27,"18-29","basic","town","opp"
2671,1,0,0,0,60,"60+","basic","town","gov"
2672,1,0,1,0,42,"30-44","secondary","rural","gov"
2673,0,1,0,1,74,"60+","basic","rural","gov"
2674,0,1,0,1,52,"45-59","higher","city","opp"
2675,1,0,0,1,35,"30-44","higher","town","opp"
2676,0,1,0,0,39,"30-44","higher","rural","gov"
2677,0,1,0,0,52,"45-59","basic","rural","none"
2678,1,0,0,1,50,"45-59","higher","city","opp"
2679,1,0,0,0,56,"45-59","secondary","town","none"
2680,1,0,0,0,55,"45-59","higher","city","none"
2681,0,1,0,0,53,"45-59","secondary","town","gov"
2682,1,0,0,0,32,"30-44","basic","town","none"
2683,1,0,0,1,53,"45-59","basic","rural","gov"
2684,1,0,0,0,61,"60+","secondary","town","none"
2685,0,1,1,0,45,"45-59","secondary","city","opp"
2686,0,1,0,1,37,"30-44","basic","town","gov"
2687,1,0,0,0,57,"45-59","secondary","rural","none"
2688,0,1,0,0,37,"30-44","higher","city","none"
2689,0,1,0,0,41,"30-44","secondary","city","none"
2690,0,1,0,1,54,"45-59","higher","rural","gov"
2691,1,0,1,0,28,"18-29","higher","town","opp"
2692,1,0,0,1,74,"60+","higher","town","opp"
2693,0,1,1,1,44,"30-44","basic","town","gov"
2694,1,0,1,0,25,"18-29","higher","city","none"
2695,0,1,0,1,25,"18-29","higher","rural","none"
2696,0,1,0,0,56,"45-59","secondary","city","none"
2697,0,1,0,1,53,"45-59","basic","rural","opp"
2698,1,0,0,0,81,"60+","basic","rural","none"
2699,1,0,0,0,29,"18-29","secondary","town","opp"
2700,0,1,0,1,28,"18-29","higher","rural","gov"
2701,1,0,0,1,40,"30-44","secondary","town","opp"
2702,1,0,0,1,64,"60+","secondary","town","none"
2703,1,0,0,0,43,"30-44","basic","city","gov"
2704,0,1,0,0,46,"45-59","higher","town","gov"
2705,1,0,0,0,32,"30-44","secondary","rural","opp"
2706,0,1,0,0,43,"30-44","secondary","city","opp"
2707,0,1,0,0,44,"30-44","higher","city","gov"
2708,0,1,1,0,44,"30-44","secondary","town","opp"
2709,0,1,0,1,54,"45-59","secondary","town","gov"
2710,0,1,0,1,48,"45-59","higher","town","gov"
2711,0,1,0,1,52,"45-59","secondary","city","none"
2712,0,1,0,0,51,"45-59","secondary","rural","gov"
2713,0,1,0,0,63,"60+","basic","town","gov"
2714,0,1,0,0,52,"45-59","secondary","city","opp"
2715,1,0,0,1,49,"45-59","higher","rural","opp"
2716,1,0,0,0,24,"18-29","higher","rural","opp"
2717,0,1,0,0,56,"45-59","secondary","rural","none"
2718,0,1,0,1,50,"45-59","secondary","town","opp"
2719,1,0,0,1,41,"30-44","secondary","town","none"
2720,1,0,0,1,67,"60+","secondary","city","none"
2721,0,1,0,1,55,"45-59","higher","rural","opp"
2722,0,1,0,0,73,"60+","secondary","rural","none"
2723,0,1,0,0,34,"30-44","secondary","rural","none"
2724,1,0,1,0,61,"60+","higher","town","gov"
2725,0,1,0,0,35,"30-44","higher","rural","gov"
2726,1,0,0,0,54,"45-59","secondary","town","none"
2727,0,1,0,0,45,"45-59","higher","city","gov"
2728,0,1,0,0,51,"45-59","secondary","rural","opp"
2729,1,0,0,1,47,"45-59","basic","city","opp"
2730,1,0,0,0,49,"45-59","secondary","city","none"
2731,1,0,0,0,69,"60+","secondary","town","gov"
2732,0,1,0,0,77,"60+","basic","city","opp"
